Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,At_Risk,source
92.61,83.85,91.7,29.700000000000003,50.98,0,DS1
63.66,77.61,89.77,34.4,68.5,0,DS1
81.94,97.63,60.57,55.099999999999994,80.04,0,DS1
45.27,75.36,59.19,5.2,79.16,0,DS1
82.75,72.47,85.89,77.9,80.38,0,DS1
98.37,62.38,77.52,13.899999999999999,60.58,0,DS1
72.25,54.94,77.86,13.3,66.85,0,DS1
69.91,77.41,87.63,19.8,96.58,0,DS1
51.24,65.74,92.75,57.699999999999996,98.7,0,DS1
78.03,76.2,61.95,28.599999999999998,65.6,0,DS1
75.43,60.31,77.78,36.800000000000004,82.23,0,DS1
79.12,91.91,91.45,93.2,62.06,0,DS1
41.56,99.98,93.64,84.7,68.43,0,DS1
72.92,66.12,64.37,85.19999999999999,89.62,0,DS1
75.7,92.12,55.21,57.800000000000004,75.06,0,DS1
52.45,93.65,61.64,86.6,92.48,0,DS1
52.5,74.81,97.27,77.9,81.44,0,DS1
56.57,67.14,73.12,95.3,81.45,1,DS1
82.7,87.8,70.93,6.4,51.69,0,DS1
76.38,61.44,50.65,2.9,87.48,0,DS1
90.75,81.24,52.55,17.5,98.89,1,DS1
57.74,85.24,83.43,92.89999999999999,73.65,0,DS1
94.72,74.81,79.49,60.599999999999994,57.93,0,DS1
84.62,60.36,78.78,42.599999999999994,98.85,0,DS1
63.7,92.44,55.52,51.3,64.51,1,DS1
45.72,71.05,67.6,83.0,70.46,0,DS1
55.42,60.82,90.62,92.89999999999999,53.87,1,DS1
97.41,77.13,58.75,73.0,55.54,0,DS1
58.62,93.17,94.13,76.0,60.83,0,DS1
59.79,98.35,56.07,32.0,77.42,0,DS1
51.38,87.41,58.46,46.7,77.89,0,DS1
88.41,50.28,73.89,88.5,80.31,0,DS1
56.54,56.74,97.26,78.60000000000001,79.19,0,DS1
59.82,53.81,66.48,68.4,74.76,0,DS1
64.86,55.06,82.91,6.5,90.1,0,DS1
66.02,69.15,79.43,4.0,96.69,0,DS1
64.68,66.92,57.48,13.0,63.49,1,DS1
70.22,74.81,62.41,58.099999999999994,56.51,0,DS1
88.87,94.11,96.51,53.6,71.25,0,DS1
89.16,80.77,59.24,94.3,51.32,0,DS1
87.9,74.81,84.75,69.5,94.17,0,DS1
46.07,74.81,98.23,29.4,61.99,0,DS1
87.98,70.51,55.98,16.1,77.46,0,DS1
47.22,65.88,69.96,85.0,55.75,0,DS1
47.48,71.92,61.2,46.0,77.66,0,DS1
96.87,80.52,61.08,65.3,51.95,1,DS1
89.16,74.65,55.95,56.5,88.44,0,DS1
73.14,91.9,82.48,10.700000000000001,97.77,0,DS1
92.5,95.01,87.32,5.699999999999999,65.35,0,DS1
99.36,73.48,83.84,37.7,62.91,0,DS1
76.64,61.99,96.23,36.2,72.4,1,DS1
76.77,97.26,57.28,67.4,81.0,0,DS1
85.27,86.75,65.99,63.2,59.45,0,DS1
53.93,82.01,67.23,96.89999999999999,90.17,0,DS1
50.03,87.27,61.6,85.8,59.93,0,DS1
85.57,74.81,57.11,49.699999999999996,50.27,1,DS1
60.69,53.38,74.34,50.0,76.21,0,DS1
48.1,57.66,91.72,67.4,55.76,0,DS1
58.89,57.37,97.73,11.399999999999999,84.91,0,DS1
61.52,71.03,56.47,100.0,58.37,0,DS1
97.91,57.87,91.16,51.900000000000006,90.87,0,DS1
81.88,92.73,91.23,91.0,73.52,0,DS1
71.85,78.9,69.45,96.7,78.31,1,DS1
98.13,68.41,55.5,58.2,59.33,1,DS1
94.19,53.48,99.5,10.3,57.33,0,DS1
70.72,79.55,82.78,57.300000000000004,81.56,0,DS1
94.34,55.83,99.11,59.800000000000004,62.77,0,DS1
64.26,87.16,74.18,78.89999999999999,69.3,0,DS1
53.83,90.14,69.76,4.8,73.97,1,DS1
53.96,77.2,62.36,46.6,61.48,0,DS1
79.74,57.48,99.18,92.30000000000001,89.77,0,DS1
70.06,89.34,62.66,99.1,96.97,1,DS1
79.54,65.39,51.19,19.099999999999998,71.59,0,DS1
81.16,61.13,75.62,87.10000000000001,95.88,0,DS1
41.34,73.53,68.85,14.6,94.13,0,DS1
43.24,96.13,63.07,84.1,58.3,0,DS1
71.96,64.87,81.73,27.7,58.67,0,DS1
51.46,95.28,68.21,96.0,73.87,0,DS1
77.95,52.68,70.11,69.5,76.29,0,DS1
73.13,54.18,51.15,39.900000000000006,67.06,0,DS1
75.15,84.93,79.45,28.1,65.65,0,DS1
58.15,59.53,56.1,23.5,71.57,0,DS1
78.39,65.83,60.69,68.1,84.52,0,DS1
89.77,56.82,85.86,89.60000000000001,54.22,0,DS1
99.88,66.61,65.66,75.5,85.53,0,DS1
90.31,64.02,58.16,83.5,96.31,0,DS1
73.45,86.82,78.87,78.1,88.18,0,DS1
51.61,85.1,60.75,97.89999999999999,59.58,1,DS1
80.89,97.75,63.55,75.8,54.37,0,DS1
96.26,86.22,81.07,21.0,74.52,0,DS1
52.71,84.74,86.99,79.2,97.82,0,DS1
55.36,84.71,86.98,32.2,90.95,0,DS1
48.94,94.15,74.11,99.60000000000001,78.14,0,DS1
84.2,64.81,72.71,37.7,57.15,0,DS1
64.39,74.81,89.38,29.3,85.69,0,DS1
43.76,87.06,59.65,23.900000000000002,90.65,0,DS1
92.5,61.44,57.61,65.9,96.75,0,DS1
73.46,95.6,83.23,10.9,80.61,1,DS1
59.87,76.74,70.48,95.39999999999999,75.72,0,DS1
60.64,74.81,85.5,29.4,80.96,0,DS1
57.42,88.8,62.83,29.5,97.16,0,DS1
67.33,65.62,66.24,4.6000000000000005,81.41,0,DS1
60.22,98.16,94.83,24.6,62.88,0,DS1
72.88,74.81,71.08,41.900000000000006,81.81,0,DS1
86.41,83.34,79.55,37.0,93.99,0,DS1
80.47,55.68,55.33,27.3,78.35,0,DS1
57.67,63.16,58.94,4.1,75.13,1,DS1
71.72,75.77,51.79,30.099999999999998,86.67,1,DS1
90.41,92.57,71.22,77.8,83.05,0,DS1
44.09,59.24,99.45,43.9,52.83,0,DS1
44.7,55.22,93.69,29.1,86.27,0,DS1
73.37,53.72,81.65,30.5,70.38,0,DS1
78.35,75.35,93.05,55.4,97.04,0,DS1
52.68,94.24,79.71,30.2,98.54,0,DS1
84.71,52.12,68.44,63.099999999999994,72.44,0,DS1
78.78,60.62,58.68,98.9,98.44,0,DS1
95.4,84.66,82.65,4.1,65.54,1,DS1
50.14,91.29,59.65,16.9,84.13,0,DS1
85.08,90.37,70.87,17.9,53.75,0,DS1
45.02,89.25,91.29,44.699999999999996,57.25,1,DS1
73.92,56.49,56.46,4.1,93.23,0,DS1
73.11,69.86,56.45,47.800000000000004,94.69,0,DS1
63.3,99.24,61.22,92.89999999999999,76.63,0,DS1
90.67,99.44,77.6,1.2,66.99,0,DS1
40.26,74.81,62.59,36.5,72.55,0,DS1
71.21,85.46,75.16,76.10000000000001,93.48,1,DS1
53.03,97.56,65.1,15.4,60.55,0,DS1
84.61,72.5,75.31,7.800000000000001,64.74,0,DS1
42.58,56.84,63.88,63.099999999999994,89.27,0,DS1
89.89,83.45,99.0,1.0,96.76,0,DS1
90.29,98.01,74.64,80.19999999999999,54.65,0,DS1
89.97,84.86,87.18,6.7,90.19,0,DS1
49.15,90.17,85.03,52.400000000000006,82.25,0,DS1
77.82,74.81,74.53,74.0,61.54,1,DS1
40.86,54.82,61.94,24.2,87.79,0,DS1
90.88,58.44,75.54,10.4,86.4,0,DS1
83.38,99.13,84.05,17.6,57.1,0,DS1
71.87,74.66,73.0,85.5,75.11,1,DS1
83.84,50.6,54.1,70.6,87.91,0,DS1
45.66,97.77,50.9,19.8,59.58,0,DS1
71.72,74.89,66.39,71.6,73.14,1,DS1
57.48,91.81,57.51,70.9,56.04,0,DS1
98.36,77.42,95.31,99.80000000000001,65.34,0,DS1
91.43,55.09,58.79,39.2,60.9,0,DS1
84.0,80.78,69.71,86.5,75.25,0,DS1
96.02,74.81,85.6,44.6,57.06,0,DS1
60.81,51.74,90.77,89.80000000000001,69.16,0,DS1
94.05,92.09,73.89,9.200000000000001,63.76,0,DS1
59.51,61.77,59.06,17.5,87.3,1,DS1
83.97,69.69,63.54,85.0,84.98,0,DS1
84.19,68.64,70.95,81.89999999999999,54.75,0,DS1
41.1,74.81,68.23,30.5,97.67,1,DS1
61.66,75.22,67.43,59.699999999999996,87.23,1,DS1
41.17,72.36,56.59,38.3,80.8,0,DS1
99.83,74.81,95.67,1.0,73.89,1,DS1
47.33,52.45,51.49,2.6,58.9,0,DS1
72.57,54.32,72.0,5.4,98.1,0,DS1
87.43,51.08,99.02,59.400000000000006,50.39,0,DS1
52.08,84.4,82.99,27.9,84.62,0,DS1
69.1,76.28,67.77,14.399999999999999,75.37,0,DS1
76.45,93.8,57.3,94.1,95.13,0,DS1
49.61,74.93,98.19,12.1,69.03,0,DS1
86.71,61.09,50.7,67.4,75.93,0,DS1
57.96,90.26,84.07,89.39999999999999,87.12,0,DS1
52.66,64.72,94.01,16.4,52.38,0,DS1
73.5,96.78,51.26,21.5,52.72,0,DS1
64.62,62.52,86.26,57.400000000000006,60.58,0,DS1
95.22,58.39,99.94,50.8,57.32,0,DS1
92.8,74.67,81.98,52.1,50.32,0,DS1
69.0,52.53,70.73,55.5,81.15,0,DS1
61.56,51.82,93.72,95.0,89.8,0,DS1
59.53,74.8,77.71,5.4,97.86,0,DS1
56.05,60.76,87.47,76.0,72.05,1,DS1
72.67,50.47,79.39,23.3,63.99,0,DS1
88.3,64.8,51.91,37.400000000000006,93.2,0,DS1
58.65,73.87,60.66,8.9,92.22,0,DS1
51.41,69.71,53.94,44.6,81.24,0,DS1
68.53,56.77,55.33,80.39999999999999,63.66,0,DS1
44.14,78.98,50.77,9.9,95.43,0,DS1
82.08,74.81,71.06,27.599999999999998,58.92,0,DS1
71.1,83.78,58.93,37.3,52.18,0,DS1
69.78,69.69,92.78,10.4,89.83,1,DS1
58.03,56.88,87.5,76.2,78.18,0,DS1
94.28,74.97,78.66,78.7,62.32,0,DS1
45.43,94.52,74.45,83.6,83.54,0,DS1
92.19,73.44,62.79,58.4,88.34,0,DS1
62.6,59.78,73.75,50.7,92.23,0,DS1
92.84,54.65,82.06,26.299999999999997,64.11,0,DS1
83.73,97.2,89.11,65.5,51.28,0,DS1
46.25,87.15,54.08,44.5,75.5,0,DS1
89.89,74.81,85.42,97.10000000000001,92.8,0,DS1
80.93,64.77,87.14,96.8,60.39,0,DS1
41.94,94.76,77.95,90.5,71.06,0,DS1
48.02,58.88,60.72,36.0,62.82,0,DS1
78.14,76.75,76.96,36.800000000000004,50.67,0,DS1
79.76,85.68,75.14,85.3,94.93,0,DS1
84.8,69.82,73.79,72.9,56.75,0,DS1
83.21,52.0,73.03,70.4,88.34,0,DS1
79.57,61.39,55.54,28.0,67.33,0,DS1
85.97,95.09,59.14,83.3,63.88,0,DS1
74.51,74.81,54.87,57.9,97.05,1,DS1
55.65,90.77,62.12,44.699999999999996,82.86,1,DS1
94.74,77.78,63.17,86.5,84.35,0,DS1
41.09,97.18,62.25,39.4,87.98,0,DS1
61.99,74.81,60.55,65.4,67.05,1,DS1
83.73,74.81,86.77,46.6,78.18,0,DS1
65.63,65.91,90.93,59.3,63.51,0,DS1
41.49,80.08,66.36,4.1,91.73,0,DS1
43.96,83.74,65.26,46.1,79.97,0,DS1
78.92,74.81,92.2,55.599999999999994,62.17,0,DS1
97.89,91.11,81.2,49.3,94.99,0,DS1
73.11,59.17,64.67,84.7,79.04,0,DS1
70.41,74.81,85.68,31.099999999999998,74.75,0,DS1
59.1,84.32,67.23,88.4,51.72,0,DS1
55.4,74.81,79.33,40.300000000000004,95.49,0,DS1
41.26,71.99,99.63,69.5,97.61,0,DS1
56.38,98.19,65.08,8.7,78.13,0,DS1
66.95,81.29,96.53,20.0,72.13,0,DS1
51.88,97.45,66.03,76.10000000000001,67.98,0,DS1
45.24,86.12,77.01,1.2,63.4,0,DS1
83.06,86.23,73.0,96.89999999999999,78.73,0,DS1
93.68,79.59,89.16,19.099999999999998,56.4,0,DS1
96.21,57.11,53.05,90.1,95.96,1,DS1
77.08,74.81,81.36,51.6,58.8,0,DS1
43.17,62.63,88.03,56.5,87.28,0,DS1
84.45,99.93,73.61,8.4,65.34,0,DS1
46.61,63.35,55.26,36.5,61.3,1,DS1
80.18,61.53,62.24,15.600000000000001,77.89,0,DS1
86.76,81.19,83.98,52.599999999999994,88.26,1,DS1
83.55,75.55,94.77,55.099999999999994,86.34,0,DS1
97.11,51.07,71.08,71.0,61.69,0,DS1
84.29,56.48,78.02,87.8,66.53,0,DS1
81.59,90.55,61.42,46.8,93.44,0,DS1
55.7,74.18,70.61,23.3,86.16,1,DS1
95.49,57.3,66.84,33.4,85.63,1,DS1
50.77,73.26,82.78,84.7,63.45,0,DS1
94.29,62.66,99.23,14.6,89.6,0,DS1
58.76,61.18,90.67,62.699999999999996,67.92,1,DS1
47.81,97.89,59.61,1.3,70.07,0,DS1
89.6,68.1,78.88,24.6,64.38,0,DS1
40.15,52.32,53.32,59.1,56.07,0,DS1
89.93,98.52,62.35,45.599999999999994,71.02,1,DS1
55.74,89.74,58.61,49.400000000000006,50.85,0,DS1
93.08,62.72,66.78,66.10000000000001,72.8,0,DS1
81.49,70.44,83.94,23.5,86.25,1,DS1
79.97,93.11,74.97,28.1,98.04,0,DS1
61.92,67.87,96.65,68.4,53.93,1,DS1
43.56,78.37,60.64,53.8,64.06,0,DS1
89.8,76.74,68.21,1.5,74.71,0,DS1
50.25,70.06,66.49,67.0,58.52,0,DS1
62.34,81.98,61.8,62.0,55.84,1,DS1
76.02,73.66,99.66,7.9,72.62,0,DS1
68.94,51.06,69.36,74.80000000000001,79.04,0,DS1
51.92,90.72,97.03,52.199999999999996,91.01,0,DS1
48.44,55.66,69.52,20.5,99.89,0,DS1
47.39,73.2,60.2,55.9,88.71,1,DS1
91.78,79.0,55.96,59.5,61.07,0,DS1
41.89,85.28,92.78,92.0,87.4,0,DS1
98.62,70.54,51.6,74.2,76.86,0,DS1
51.91,86.78,98.22,30.2,72.54,0,DS1
46.62,56.57,70.91,11.799999999999999,96.79,0,DS1
74.62,82.67,62.37,85.3,85.1,0,DS1
44.8,91.32,80.87,84.60000000000001,84.08,0,DS1
76.15,94.47,56.65,17.5,50.59,0,DS1
91.04,74.81,53.61,6.2,93.25,0,DS1
42.87,65.64,91.39,71.2,89.67,0,DS1
87.99,58.17,71.23,72.30000000000001,64.95,0,DS1
63.67,67.28,75.91,17.7,64.61,0,DS1
49.57,77.0,58.83,66.8,52.67,0,DS1
50.57,59.82,53.07,27.9,52.54,0,DS1
95.13,97.63,68.39,26.099999999999998,83.43,0,DS1
46.64,94.86,75.31,32.5,59.31,0,DS1
92.01,51.65,88.27,52.0,96.18,1,DS1
72.65,78.1,75.05,80.39999999999999,92.12,1,DS1
42.34,89.47,89.13,49.900000000000006,67.44,0,DS1
67.87,62.27,55.77,29.8,69.0,0,DS1
89.05,76.19,53.2,88.4,66.36,0,DS1
83.57,70.3,57.94,5.5,54.62,1,DS1
69.33,59.83,88.6,79.7,51.57,0,DS1
91.6,80.74,87.97,78.4,72.61,0,DS1
47.22,99.68,57.07,25.4,97.15,0,DS1
94.6,68.26,51.55,19.8,95.86,0,DS1
90.79,77.62,84.26,87.5,90.49,0,DS1
82.5,66.39,92.76,55.9,81.43,0,DS1
89.07,93.85,87.71,4.6000000000000005,92.81,0,DS1
72.63,74.81,60.14,89.1,75.75,0,DS1
80.51,58.94,79.19,34.900000000000006,59.01,0,DS1
73.64,95.0,87.87,34.2,84.21,0,DS1
61.33,57.58,62.79,64.3,96.03,0,DS1
74.13,54.77,76.39,66.10000000000001,50.98,0,DS1
55.45,82.65,65.72,35.3,62.57,0,DS1
66.42,69.3,61.28,14.299999999999999,63.27,0,DS1
56.85,76.54,98.48,55.199999999999996,54.95,0,DS1
47.37,82.63,95.63,62.5,61.27,0,DS1
59.31,52.64,72.28,86.0,69.2,0,DS1
91.12,64.65,56.84,48.4,96.99,0,DS1
62.86,73.05,86.4,64.6,93.01,0,DS1
84.88,63.33,62.79,5.4,97.3,0,DS1
50.51,52.45,58.43,89.5,56.03,0,DS1
65.47,54.33,69.08,32.7,51.4,0,DS1
46.89,90.09,76.49,63.2,55.49,1,DS1
48.32,95.57,54.87,91.6,95.71,0,DS1
77.05,57.61,78.59,81.1,57.87,0,DS1
76.45,74.81,50.77,63.8,78.63,0,DS1
52.8,82.61,94.59,70.4,61.38,0,DS1
68.47,97.71,96.04,92.10000000000001,51.03,0,DS1
91.8,64.98,86.65,81.19999999999999,54.23,0,DS1
50.45,92.76,73.33,61.0,85.49,0,DS1
41.15,75.3,62.74,65.9,59.12,0,DS1
79.12,97.83,87.21,14.7,61.46,0,DS1
43.21,56.81,96.59,47.0,68.86,0,DS1
98.8,74.81,57.93,30.099999999999998,82.86,1,DS1
76.58,72.05,73.29,43.2,73.47,0,DS1
68.22,97.65,65.76,66.2,97.23,0,DS1
65.8,72.93,67.84,14.9,71.71,0,DS1
74.38,76.5,70.29,1.7000000000000002,59.96,0,DS1
45.44,90.24,97.59,39.7,76.81,1,DS1
95.8,86.13,62.93,32.2,72.54,0,DS1
77.54,80.98,74.63,42.0,89.36,0,DS1
51.04,70.85,97.57,93.10000000000001,96.76,0,DS1
73.75,89.62,73.8,70.7,91.81,0,DS1
48.0,97.41,93.18,32.7,69.45,0,DS1
41.05,50.49,52.94,17.9,60.81,0,DS1
77.83,79.39,97.65,61.8,95.72,0,DS1
78.91,93.3,59.38,65.8,69.3,0,DS1
75.02,82.66,99.0,48.4,88.51,0,DS1
51.01,90.04,58.78,21.299999999999997,99.48,0,DS1
76.21,94.75,72.22,2.9,78.87,1,DS1
43.39,87.55,65.43,26.6,73.99,0,DS1
76.55,74.81,71.66,45.7,84.99,1,DS1
73.24,98.24,62.53,78.8,59.7,0,DS1
79.32,93.18,98.27,85.39999999999999,74.41,0,DS1
93.73,90.77,65.29,41.3,65.62,0,DS1
91.02,54.32,82.66,79.6,58.21,0,DS1
98.84,74.81,56.87,99.3,80.51,0,DS1
98.57,77.84,91.22,71.7,78.79,0,DS1
86.34,85.48,77.13,72.9,88.06,0,DS1
97.39,65.16,98.97,91.0,93.65,0,DS1
92.04,54.67,71.17,33.8,61.02,0,DS1
83.65,65.55,59.77,1.1,88.99,0,DS1
44.52,74.81,67.3,98.69999999999999,68.37,0,DS1
42.94,93.87,86.85,49.0,81.44,0,DS1
90.26,95.65,82.96,78.60000000000001,92.51,0,DS1
69.38,68.94,88.92,81.19999999999999,62.81,1,DS1
88.88,68.63,53.67,39.8,80.05,0,DS1
58.78,70.34,79.02,54.1,74.02,0,DS1
63.86,68.79,96.61,54.0,89.53,0,DS1
82.01,83.31,55.4,22.0,84.86,0,DS1
94.92,67.92,54.72,11.799999999999999,88.48,0,DS1
45.27,51.02,85.83,54.400000000000006,64.4,0,DS1
91.69,71.95,65.76,12.0,85.22,1,DS1
87.58,61.21,82.93,34.6,80.29,0,DS1
58.93,51.44,77.27,18.6,72.83,0,DS1
61.31,73.54,99.3,70.7,68.92,0,DS1
42.79,60.3,94.45,87.2,66.58,0,DS1
40.94,72.64,83.9,57.800000000000004,50.48,0,DS1
68.62,63.89,63.08,41.0,58.48,0,DS1
45.73,80.19,63.1,99.7,52.95,1,DS1
51.64,99.54,94.11,2.1,92.42,0,DS1
90.81,77.36,79.27,30.4,93.0,1,DS1
74.26,82.34,89.46,27.9,92.31,0,DS1
78.02,95.96,72.49,35.6,90.9,0,DS1
51.25,68.7,55.15,23.1,61.07,0,DS1
89.72,74.81,66.63,26.400000000000002,74.59,0,DS1
92.08,64.14,58.06,25.8,95.39,0,DS1
71.4,70.14,89.09,50.599999999999994,87.99,0,DS1
94.75,82.25,85.03,39.1,50.09,0,DS1
90.69,50.23,54.42,63.9,72.97,0,DS1
83.88,92.67,81.07,51.4,50.53,0,DS1
84.04,53.8,93.71,18.3,64.03,0,DS1
46.32,95.03,84.87,81.0,71.79,0,DS1
56.25,97.47,75.56,47.199999999999996,94.64,1,DS1
44.01,99.51,65.59,15.3,82.72,0,DS1
40.52,74.81,94.35,16.7,68.12,0,DS1
49.5,57.09,71.14,79.7,74.53,1,DS1
92.83,85.31,92.77,70.3,90.87,0,DS1
54.39,60.17,89.15,50.7,64.98,0,DS1
98.21,94.86,90.81,30.6,80.75,0,DS1
75.84,65.83,99.49,46.1,63.11,0,DS1
54.24,66.34,87.44,63.6,74.0,0,DS1
69.83,95.88,51.7,87.89999999999999,51.23,0,DS1
53.15,50.66,60.27,55.599999999999994,92.61,0,DS1
99.04,59.7,51.76,27.7,52.42,0,DS1
90.84,74.81,59.5,4.3,61.22,0,DS1
41.57,85.04,53.07,17.5,66.68,0,DS1
96.87,82.38,75.08,65.0,81.26,1,DS1
83.26,83.47,51.41,16.0,86.0,0,DS1
44.94,94.0,73.63,48.2,54.02,0,DS1
80.24,56.05,94.94,69.9,52.17,1,DS1
78.82,76.11,87.43,30.8,89.95,0,DS1
53.13,86.27,97.2,66.9,85.61,1,DS1
85.51,81.81,61.33,58.099999999999994,91.58,0,DS1
45.22,72.42,76.55,43.9,83.83,0,DS1
69.37,50.86,65.93,89.7,87.55,1,DS1
40.6,53.02,74.69,69.2,68.95,0,DS1
98.12,55.95,77.85,36.1,79.51,0,DS1
85.09,67.16,51.81,80.39999999999999,90.27,1,DS1
49.53,55.88,61.66,73.8,58.61,0,DS1
60.5,71.3,85.24,79.2,71.14,0,DS1
49.63,58.93,88.65,64.1,87.02,0,DS1
86.0,88.96,78.47,37.9,76.63,0,DS1
43.53,93.57,63.54,34.900000000000006,84.08,0,DS1
90.42,69.48,70.25,65.4,64.64,0,DS1
96.53,75.57,54.8,13.100000000000001,51.62,0,DS1
80.6,97.67,97.66,82.0,51.46,0,DS1
52.78,76.78,93.43,37.0,97.14,0,DS1
61.61,74.81,53.28,63.0,97.23,0,DS1
68.63,57.11,58.32,49.900000000000006,60.56,0,DS1
76.28,93.11,79.05,51.900000000000006,57.37,0,DS1
80.12,74.86,61.62,73.8,50.91,0,DS1
73.25,51.14,96.72,62.699999999999996,61.56,0,DS1
61.08,98.61,87.78,25.0,66.72,1,DS1
93.46,98.25,63.66,7.4,62.06,0,DS1
44.88,69.16,50.31,84.0,89.87,0,DS1
67.98,97.71,89.97,88.5,87.47,0,DS1
86.53,57.05,71.2,16.4,54.05,0,DS1
43.65,84.01,82.12,30.9,84.87,1,DS1
82.32,59.6,64.35,28.2,76.03,0,DS1
89.18,62.33,57.14,93.69999999999999,56.61,1,DS1
79.65,88.97,83.77,20.5,86.98,1,DS1
40.78,68.87,72.52,16.7,54.3,0,DS1
50.81,50.36,61.76,18.2,58.86,0,DS1
60.53,70.71,56.88,73.0,57.46,1,DS1
54.02,61.4,79.02,88.80000000000001,96.95,1,DS1
97.76,84.17,86.28,39.300000000000004,84.91,1,DS1
79.1,59.72,64.19,13.600000000000001,70.56,1,DS1
57.82,92.11,86.76,58.6,91.11,1,DS1
95.78,63.35,59.16,21.0,60.8,0,DS1
84.44,69.65,66.92,6.4,96.55,0,DS1
57.08,64.9,87.24,88.6,84.85,0,DS1
62.73,82.2,83.01,87.10000000000001,77.98,0,DS1
51.97,55.06,63.53,97.6,89.73,0,DS1
98.26,73.9,56.11,47.400000000000006,82.24,0,DS1
71.04,74.81,52.12,29.4,94.36,0,DS1
93.76,74.81,91.9,77.0,91.46,0,DS1
60.79,53.67,53.76,18.0,59.89,0,DS1
91.65,74.81,55.74,24.3,61.98,0,DS1
43.23,58.38,61.89,25.6,53.25,0,DS1
98.93,54.43,72.28,95.19999999999999,61.01,0,DS1
94.72,60.12,89.49,73.0,67.17,1,DS1
61.79,55.13,62.37,13.4,51.44,0,DS1
86.48,76.05,77.18,9.3,65.75,0,DS1
85.14,99.41,54.52,84.3,88.58,1,DS1
94.08,51.72,73.23,80.19999999999999,92.02,0,DS1
58.44,73.06,58.88,67.1,50.44,1,DS1
67.93,69.3,60.56,19.6,50.36,0,DS1
91.9,66.98,68.34,48.0,57.32,0,DS1
86.71,66.59,88.07,60.300000000000004,93.63,0,DS1
63.61,94.75,87.2,93.2,73.46,0,DS1
90.74,74.81,70.75,16.9,99.15,1,DS1
42.82,88.75,55.93,51.5,94.37,0,DS1
86.92,62.65,64.03,15.8,94.51,0,DS1
52.41,69.16,75.27,44.400000000000006,56.42,0,DS1
57.17,71.01,93.47,20.0,73.76,0,DS1
69.59,65.24,98.41,83.6,99.68,1,DS1
66.98,54.68,81.87,25.5,57.45,1,DS1
71.23,55.72,67.53,41.7,78.71,0,DS1
72.69,64.91,84.67,40.8,67.21,0,DS1
59.89,91.09,66.81,86.6,69.39,1,DS1
50.51,56.73,81.27,75.8,94.54,0,DS1
86.11,74.81,62.19,5.8,79.4,0,DS1
64.0,64.44,63.35,6.7,87.94,0,DS1
70.35,94.17,53.76,55.099999999999994,83.66,0,DS1
78.68,71.42,71.01,42.800000000000004,76.45,0,DS1
94.58,58.59,80.91,27.599999999999998,89.59,0,DS1
82.45,99.29,89.44,79.3,98.54,0,DS1
42.73,58.83,90.52,12.9,98.34,1,DS1
90.31,78.38,99.62,97.4,89.47,1,DS1
99.36,78.46,54.39,2.4,74.37,0,DS1
68.35,68.64,74.66,11.799999999999999,58.16,0,DS1
98.18,97.57,76.07,31.099999999999998,52.22,0,DS1
72.84,92.19,90.23,50.9,61.57,0,DS1
67.58,91.49,63.32,21.6,67.01,0,DS1
59.88,74.81,53.47,73.60000000000001,56.49,0,DS1
